playerName,freeThrowsMade,points,plusMinusPoints,fieldGoalsMade,PER,turnovers,USG%,gamesPlayed,reboundsDefensive,minutes,assists,Actual_AllStar,Predicted_AllStar,Prediction_Confidence
Trevor Booker,566,1914,100,597,27.64346780541562,300,32.77022464583193,75,161,2540.8,741,0,1,71.36
Joakim Noah,10,71,1,25,18.164551136363634,9,13.987332440456044,55,33,176.0,21,0,0,0.0
Marquis Teague,99,444,54,146,13.603073993087394,40,12.495269184849844,75,148,1417.7,110,0,0,0.0
Derrick Favors,0,4,1,2,29.453958333333333,1,39.09822767035428,4,0,4.8,0,0,0,0.0
Tim Duncan,19,158,-54,56,14.595644989339023,11,16.901170090917596,45,56,375.2,13,0,0,0.0
Alonzo Gee,0,0,-4,0,-5.100625,0,8.823534878418698,4,1,4.8,0,0,0,0.0
Olivier Sarr,356,1543,478,532,31.45162978193821,149,33.23055920966766,62,348,1848.1,280,1,1,90.52
Bernard James,0,0,-2,0,-4.900823529411764,1,10.245629012483192,17,1,8.5,0,0,0,0.0
Keifer Sykes,140,568,164,210,15.08831038552321,94,18.47380515051567,66,135,1525.2,79,0,0,0.0
Jason Terry,54,417,56,144,9.125342922151791,58,17.886011862896265,79,174,1230.6,71,0,0,0.0
Josh Reaves,44,261,-32,87,9.128242388295767,81,15.63765952135912,69,96,1011.6,130,0,0,0.0
Mason Plumlee,124,898,-244,340,10.945750031916244,124,18.61167498506804,82,208,2349.9,135,0,0,0.74
Allen Crabbe,432,1614,-17,591,26.279748912097475,251,32.84305238284676,75,613,2298.0,207,1,1,74.24
Ashton Hagans,180,1355,383,536,24.177577011287493,123,23.832771124361184,71,245,2223.7,322,0,0,30.98
Joe Harris,2,2,3,0,70.2795238095238,0,38.31238034322856,3,0,2.1,0,0,0,0.0
Max Strus,59,541,100,241,21.612396413649023,34,19.12777881734593,78,175,1148.8,38,0,0,0.13
Hasheem Thabeet,94,570,35,205,17.750424389834773,75,23.642995786625058,60,85,1192.3,231,0,0,0.0
Jordan Clarkson,0,2,-4,1,4.959090909090908,0,4.352776077628572,1,1,9.9,0,0,0,0.0
DeMarcus Cousins,0,0,0,0,14.257979607256786,0,18.572275528227934,1,0,0.0,0,0,0,0.0
Danilo Gallinari,19,166,-142,73,17.980503816793895,18,21.064315012442872,56,59,327.5,11,0,0,0.0
Svi Mykhailiuk,80,593,-138,225,9.179761721296895,114,19.71457300239948,79,248,1687.1,118,0,0,0.32
Scotty Hopson,52,274,161,106,18.74366339227243,31,14.849265234583225,78,84,763.5,65,0,0,0.0
Rashad Vaughn,133,777,-220,314,20.18482041799741,105,18.015019151231133,76,365,1784.7,98,0,0,0.14
Kyle Alexander,222,1187,61,482,21.16160335146517,121,24.08426954441082,80,411,2279.6,112,0,0,5.25
Brandon Jennings,178,480,-275,139,13.7887519872814,59,27.645118424397552,46,104,880.6,39,0,0,5.92
Luke Ridnour,0,14,-4,7,12.407105643994209,1,7.938901054150875,14,15,69.1,1,0,0,0.0
Roy Hibbert,143,891,-243,374,14.87347572985512,101,18.31335264153984,82,377,2284.7,84,0,0,0.67
Richard Hamilton,5,66,-16,25,8.765689655172414,5,10.765760882130742,22,38,278.4,7,0,0,0.0
